content,label
我是祝桥光明学校的李老师，现在因为一些原因需要你帮忙。我要求你在今天中午送客饭到学校来，微信上给你转账后请你代为购买海文铭佛跳墙有限公司的商品并送到我们学校。我已经发给了两张截图证明我给你转了账，你也已经添加了我的好友“海文铭佛跳墙有限公司”，请尽快按照他的指示进行操作吧！,冒充领导、熟人类
我是长寿中学教导主任，我打电话是想通知你们公司，我们计划在贵公司的酒店进行一次团队聚餐。为了确保我们的需求得到满足并能够顺利预订餐位和房间等资源安排工作，我想先确认一下您的餐厅是否还有空闲的座位和服务员可以为我们提供服务呢？如果有的话我们可以直接将人数告诉您们然后就可以完成订购了；如果没有的话那就算了不定了！希望您可以尽快回复我的消息谢谢!,冒充领导、熟人类
我是您的孙子，现在在外地给人打伤了被关在公安局了。他们不让我用手机联系您，但情况很紧急！我需要一些现金来处理这个事情并且支付赔偿金和律师费用等。如果您没有那么多现金的话可以先汇款给我救急一下吗？我保证会尽快还给您的……,冒充领导、熟人类
我是您的外孙，我刚刚和人打了一架。现在需要您立即汇款才能解决这件事情。请您马上去银行转账或者通过手机支付把钱转给我。,冒充领导、熟人类
我是XX，我在你们店铺订购了很多货物。我想请你们帮我代买一下食品并为我送过来的地址处，这是他们的联系方式XXXX，你加一下,冒充领导、熟人类
我是你的微信好友，现在家里出了点急事。我妈妈不小心摔了一跤，现在在医院需要紧急手术。我现在手头有点紧，想先借一点钱应急一下，等事情解决后再还给你。”“真的很抱歉突然打扰你，我知道我们平时也不太联系。但这次情况真的比较特殊，希望你能帮帮我。我会尽快把钱还给你的，不会让你吃亏的。”,冒充领导、熟人类
我是您的干儿子，之前因为一些原因换了电话号码。这次我来到这边办事，遇到了一些困难需要给领导送些现金作为礼物以顺利完成工作。但是对方没收了我的钱款并让我找您帮忙转账解决这个问题。希望您可以帮助我将这些款项转交给相关人员以便我可以继续我的计划顺利进行下去谢谢！,冒充领导、熟人类
我是您的孙子，我在酒吧喝多了点酒，跟别人有点冲突。现在需要赔钱才能出来回家呢？您能不能帮帮我！我现在真的很后悔也很害怕,冒充领导、熟人类
我是工地采购员，现在在工地上需要购买板材。我们之前通过电话了，你记得吗？现在我需要你再帮我一个忙：我们需要40桶硅烷防腐浸渍剂而不是20桶。你能再帮忙订购一些吗？当然我会把额外的定金给你转过去,冒充领导、熟人类
我是您的孙子，我刚刚在路上和别人发生了一些冲突。现在他们受伤了，情况非常紧急需要马上治疗！我现在被困在这里无法脱身，我需要你的帮助把这件事情解决掉。你能不能帮我把这个钱汇给对方？他们的账户信息我已经发给你了请尽快办理一下这个事情吧谢谢你了请不要担心一切都会好起来的,冒充领导、熟人类
我是轻轻教育的工作人员，很抱歉通知您。由于公司的一些变化，我们将为您退还之前支付的运费。为此我们特别创建了一个QQ群以便更好地进行退款操作。在群里有一个链接可以下载我们的金恪APP，里面有详细的步骤和指引帮助你完成整个学费清退过程。,冒充领导、熟人类
我是蔡书记，刚刚收到了一个领导的红包，想要退还给他。但是我不知道怎么联系他啊？你能帮我查一下他的手机号吗？,冒充领导、熟人类
我是您的孙子。我遇到了一些麻烦，需要帮助处理一下后续问题。我在外面躲着不敢回家，你能给我转一下钱帮我吗？我拿钱赔给人家应该就好了，千万不要告诉我父母。,冒充领导、熟人类
我是你的朋友，最近我换了一个新的电话号码。我想让你重新添加我的微信号并借给我一些钱款以便我能度过难关。请尽快处理这个请求以帮助和支持我一下！,冒充领导、熟人类
我是您的孙子，刚刚跟别人打了一架现在在派出所呢。您赶紧给人转点钱解决一下吧我现在等着用呢！,冒充领导、熟人类
我是你的孙子，我刚刚不小心把别人打伤了。我知道你现在很担心我的安全和健康情况，但我真的需要你帮我一个忙.我现在急需一些钱来赔偿给对方作为医疗费用，，希望你能立即去银行转账到我的中国卡上。,冒充领导、熟人类
我是建设银行的李经理，这里是你的公司账户。我们发现您的帐户需要年检以确保其安全和有效性。请在接下来的24小时内通过QQ将相关文件发送给我进行核实和处理。,冒充领导、熟人类
我是中建，需要购买500张铁皮。请加我微信号：，我们详细聊一下价格和交货时间等问题吧,冒充领导、熟人类
我是你的朋友，现在在日本爆发了疫情我想回国但是我没有网络支付不了机票尾款。你能不能帮我一下？等转钱成功之后我再联系你我手机没电了充上电能给我回个消息吗？,冒充领导、熟人类
